city_name,city_pinyin
鞍山,anshan
安阳,anyang
安庆,anqing
安康,ankang
安顺,anshun
阿坝,aba
阿克苏,akesu
阿里,ali
阿拉尔,alaer
阿拉善盟,alashanm
阿勒泰,aletai
安吉,anjixian
安岳,anyuexian
安溪,anxi
安丘,anqiu
安宁,anning
安达,shanda
安陆,xganlu
北京,beijing
保定,baoding
包头,baotou
滨州,binzhou
宝鸡,baoji
蚌埠,bengbu
本溪,benxi
北海,beihai
巴音郭楞,bayinguoleng
巴中,bazhong
巴彦淖尔市,bayannaoer
亳州,bozhou
白银,baiyin
白城,baicheng
百色,baise
白山,baishan
博尔塔拉,boertala
毕节,bijie
保山,baoshan
博罗,boluoxian
宝应县,baoyingxian
霸州,bazh
北票,beipiao
北流,beiliu
博兴,boxingxian
博白,bobaixian
成都,chengdu
重庆,chongqing
长沙,cs
常州,cz
长春,cc
沧州,cangzhou
昌吉,changji
赤峰,chifeng
常德,changde
郴州,chenzhou
承德,chengde
长治,changzhi
池州,chizhou
滁州,chuzhou
朝阳,chaoyang
潮州,chaozhou
楚雄,chuxiong
巢湖,chaohu
昌都,changdu
长葛,changge
崇左,chongzuo
长兴,changxingxian
慈溪,cixi
澄迈,cm
常熟,changshushi
苍南,cangnanxian
曹县,caoxian
长垣,changyuanxian
昌邑,jlchangyi
昌乐,changle
赤壁,chibi
岑溪,cengxi
沧县,cangxian
长宁,changning
磁县,cixian
慈利,cilixian
长岭,changlingxian
茌平,chiping
大连,dalian
东莞,dg
德阳,deyang
大理,dali
德州,dezhou
东营,dongying
大庆,daqing
丹东,dandong
大同,datong
达州,dazhou
大丰,dafeng
德宏,dehong
定州,dingzhou
迪庆,diqing
定西,dingxi
大兴安岭,dxanling
东阳,dongyang
东台,dongtai
丹阳,danyang
德清,deqingxian
东海,donghaixian
东方,dongfang
定安,da
儋州,danzhou
单县,danxian
邓州,dengzhou
当阳,ycdangyang
灯塔,dengta
敦煌,dunhuang
大竹,dazhu
定边,dingbianxian
东明,dongmingxian
东平,dongpingxian
大悟,dawuxian
东至,dongzhixian
大亚湾,dayawana
鄂尔多斯,eerduosi
恩施,enshi
鄂州,ezhou
佛山,foshan
福州,fz
阜阳,fuyang
抚顺,fushun
阜新,fuxin
抚州,fuzhoushi
防城港,fangchenggang
肥城,feichengshi
阜宁,funing
福清,fuqing
福安,fuan
凤城,ddfengcheng
丰县,fengxian
丰城,fengchengshi
福鼎,fuding
浮梁,fuliang
府谷,fuguxian
范县,fanxian
分宜,fenyixian
扶余,fuyushi
广州,guangzhou
贵阳,gy
桂林,guilin
赣州,ganzhou
广安,guangan
贵港,guigang
广元,guangyuan
甘孜,ganzi
甘南藏族自治州,gannan
馆陶,guantao
果洛,guoluo
固原,guyuan
改则,gaizexian
广饶,guangraoxian
公主岭,gongzhulingshi
广汉,guanghan
灌云,guanyunxian
灌南,guannanxian
高密,gaomishi
固安,guan
广水,szguangshui
格尔木,geermu
桂平,guiping
高安,gaoanshi
谷城,gucheng
高唐,gaotangxian
冠县,guanxian
固始,gushixian
桂阳,guiyangxian
高平,gaopingshi
杭州,hangzhou
合肥,hf
哈尔滨,heb
海口,haikou
惠州,huizhou
邯郸,handan
呼和浩特,huhehaote
黄冈,huanggang
淮南,huainan
黄山,huangshan
鹤壁,hebi
衡阳,hengyang
湖州,huzhou
衡水,hengshui
汉中,hanzhong
淮安,huaian
黄石,huangshi
菏泽,heze
怀化,huaihua
淮北,huaibei
葫芦岛,huludao
河源,heyuan
红河,honghe
哈密,hami
鹤岗,hegang
呼伦贝尔,hulunbeier
海北,haibei
海东,haidong
海南藏族自治州,hainan
河池,hechi
黑河,heihe
和县,hexian
贺州,hezhou
海拉尔,hailaer
霍邱,huoqiu
和田,hetian
黄南,huangnan
海西,hexi
海门,haimen
海安,haianxian
海宁,haining
惠东,huidongxian
汉川,hanchuanshi
海丰,haifengxian
桓台,huantaixian
常宁,hychangning
桦甸,jlhuadian
海盐,haiyan
永城,hnyongcheng
黄骅,huanghua
河间,hejian
韩城,hancheng
滑县,huaxian
衡东,hengdongxian
华容,huarongxian
淮滨,huaibinxian
胡杨河,huyanghe
济南,jinan
嘉兴,jx
吉林,jilin
江门,jiangmen
荆门,jingmen
锦州,jinzhou
景德镇,jingdezhen
吉安,jian
济宁,jining
金华,jinhua
揭阳,jieyang
晋中,jinzhong
九江,jiujiang
焦作,jiaozuo
晋城,jincheng
荆州,jingzhou
佳木斯,jiamusi
酒泉,jiuquan
鸡西,jixi
济源,jiyuan
金昌,jinchang
嘉峪关,jiayuguan
晋江,jinjiangshi
建湖,jianhuxian
靖江,jingjiang
嘉善,jiashanxian
金坛,jintan
姜堰,jiangyan
简阳,jianyangshi
莒县,juxian
江阴,jiangyin
句容,jurong
京山,jmjingshan
进贤,jinxian
金湖,jinhu
钟祥,jmzhongxiang
孟州,jzmengzhou
吉首,jishou
靖边,jingbianxian
巨野,juyexian
鄄城,juanchengxian
嘉鱼,jiayuxian
加尔玛,jiaerma
昆明,km
昆山,ks
开封,kaifeng
喀什,kashi
克拉玛依,kelamayi
垦利,kenli
克孜勒苏,lezilesu
开平,kaiping
兰考,kflankao
开原,tlkaiyuan
可克达拉,kekedala
兰州,lanzhou
廊坊,langfang
洛阳,luoyang
柳州,liuzhou
莱芜,laiwu
六安,luan
泸州,luzhou
丽江,lijiang
临沂,linyi
聊城,liaocheng
连云港,lianyungang
丽水,lishui
娄底,loudi
乐山,leshan
辽阳,liaoyang
拉萨,lasa
临汾,linfen
龙岩,longyan
漯河,luohe
凉山,liangshan
六盘水,liupanshui
辽源,liaoyuan
来宾,laibin
临沧,lingcang
临夏,linxia
临猗,linyishi
林芝,linzhi
陇南,longnan
吕梁,lvliang
龙口,longkou
溧阳,liyang
陵水,lingshui
莱州,laizhoushi
临海,linhaishi
灵宝,lingbaoshi
乐平,lepingshi
醴陵,lilingshi
滦南,luannan
龙门,longmen
临朐,linju
临清,linqing
老河口,xylaohekou
莱阳,laiyang
林州,aylinzhou
冷水江,lengshuijiang
涟源,lianyuan
陆丰,lufengshi
乐陵,leling
澧县,lixian
梁山,liangshanxian
临邑,linyixian
鹿邑,luyixian
梨树县,lishuxian
利津,lijingxian
柳林,liulinxian
绵阳,mianyang
茂名,maoming
马鞍山,maanshan
牡丹江,mudanjiang
眉山,meishan
梅州,meizhou
明港,minggang
孟津,mengjin
梅河口,meihekou
弥勒,mileshi
渑池,mianchixian
南京,nanjing
宁波,nb
南昌,nc
南宁,nanning
南通,nantong
南充,nanchong
南阳,nanyang
宁德,ningde
内江,neijiang
南平,nanping
那曲,naqu
怒江,nujiang
南安,nananshi
宁国,ningguo
南漳,nanzhangxian
宁津,ningjinxian
宁阳,ningyangxian
南城,nanchengxian
南县,nanxian
攀枝花,panzhihua
平顶山,pingdingsha
盘锦,panjin
萍乡,pingxiang
濮阳,puyang
莆田,putian
普洱,puer
平凉,pingliang
邳州,pizhou
沛县,xzpeixian
蓬莱,penglaishi
平潭,pingtan
平湖,pinghu
平阳,pingyang
平邑,pingyi
磐石,panshishi
青岛,qd
秦皇岛,qinhuangdao
泉州,quanzhou
曲靖,qujing
齐齐哈尔,qiqihaer
衢州,quzhou
清远,qingyuan
钦州,qinzhou
庆阳,qingyang
黔东南,qiandongnan
潜江,qianjiang
清徐,qingxu
黔南,qiannan
七台河,qitaihe
黔西南,qianxinan
启东,qidong
琼海,qionghai
迁安市,qiananshi
青州,qingzhoushi
杞县,qixianqu
清镇,qingzhen
迁西,qianxi
栖霞,qixia
沁阳,qinyangshi
江山,qzjiangshan
齐河,qihexian
祁东,qidongxian
淇县,qixian
祁阳,qiyangxian
渠县,quxian
日照,rizhao
日喀则,rikeze
瑞安,ruian
如皋,rugao
如东,rudongxian
日土,rituxian
荣成,rongchengshi
汝州,ruzhoushi
仁寿,renshouxian
任丘,renqiushi
乳山,rushanshi
仁怀,renhuai
上海,shanghai
深圳,shenzhen
苏州,suzhou
石家庄,sjz
沈阳,sy
三亚,sanya
绍兴,shaoxing
汕头,shantou
十堰,shiyan
三门峡,sanmenxia
三明,sanming
韶关,shaoguan
商丘,shangqiu
宿迁,suqian
绥化,suihua
邵阳,shaoyang
遂宁,suining
上饶,shangrao
四平,siping
石河子,shihezi
顺德,shunde
宿州,suzhoushi
松原,songyuan
沭阳,shuyang
石嘴山,shizuishan
随州,suizhou
朔州,shuozhou
汕尾,shanwei
三沙,sansha
商洛,shangluo
山南,shannan
神农架,shennongjia
双鸭山,shuangyashan
石狮,shishi
寿光,shouguang
神木,shenmuxian
泗阳,siyangxian
泗洪,sihongxian
三河,sanheshi
睢宁,suiningx
嵊州,shengzhou
沙河,xtshahe
松滋,songzi
商水,shangshui
射阳,sheyangxian
涉县,shexian
沈丘,shenqiuxian
上杭,shagnhangxian
睢县,suixian
沙洋,shayangxian
邵东,shaodongxian
射洪,shehongxian
双峰,shuangfengxian
随县,suixia
邵阳县,shaoyangxian
天津,tianjin
太原,ty
泰州,taizhou
唐山,tangshan
泰安,taian
台州,taiz
铁岭,tieling
通辽,tongliao
铜陵,tongling
天水,tianshui
通化,tonghua
台山,taishan
铜川,tongchuan
吐鲁番,tulufan
天门,tianmen
图木舒克,tumushuke
桐城,tongcheng
铜仁,tongren
太仓,taicang
桐乡,tongxiang
泰兴,taixing
屯昌,tunchang
天长,tianchang
塔城,tuscaloosa
滕州,tengzhoushi
太康,taikangxian
郯城,tanchengxian
通许,tongxuxian
武汉,wuhan
无锡,wuxi
威海,weihai
潍坊,weifang
乌鲁木齐,wulumuqi
温州,wenzhou
芜湖,wuhu
梧州,wuzhou
渭南,weinan
乌海,wuhai
文山,wenshan
武威,wuwei
乌兰察布,wulanchabu
瓦房店,wafangdian
五家渠,wujiaqu
武夷山,wuyishan
吴忠,wuzhong
五指山,wuzhishan
温岭,wnelingshi
文昌,wenchang
万宁,wanning
武安,wuanshi
武穴,wuxue
无棣,wudi
微山,weishanxian
汶上,wenshangxian
武义县,wuyi
尉氏,weishixian
无为,wuweixian
温县,wenxian
西安,xa
厦门,xm
徐州,xuzhou
湘潭,xiangtan
襄阳,xiangyang
新乡,xinxiang
信阳,xinyang
咸阳,xianyang
邢台,xingtai
孝感,xiaogan
西宁,xining
许昌,xuchang
忻州,xinzhou
宣城,xuancheng
咸宁,xianning
兴安盟,xinganmeng
新余,xinyu
西双版纳,bannan
湘西,xiangxi
仙桃,xiantao
锡林郭勒,xilinguole
新沂,xinyishi
兴化,xinghuashi
象山,xiangshanxian
新泰,xintaishi
项城,xiangchengshi
新安,xinan
香河,xianghe
宣威,xuanwei
孝义,sxxiaoyi
湘阴,xiangyin
新昌,xinchang
盱眙,xuyuxian
莘县,xinxian
响水,xiangshuixian
新野,xinyexian
浚县,xunxian
襄垣,xiangyuanxian
孝昌,xiaochangxian
宣汉,xuanhanxian
烟台,yt
扬州,yangzhou
宜昌,yichang
银川,yinchuan
阳江,yangjiang
永州,yongzhou
玉林,yulinshi
盐城,yancheng
岳阳,yueyang
运城,yuncheng
宜春,yichun
营口,yingkou
榆林,yulin
宜宾,yibin
益阳,yiyang
义乌,yiwu
玉溪,yuxi
伊犁,yili
阳泉,yangquan
延安,yanan
鹰潭,yingtan
延边,yanbian
云浮,yufu
雅安,yaan
阳春,yangchun
鄢陵,yanling
伊春,yichunshi
玉树,yushu
乐清,yueqing
禹州,yuzhou
永新,yongxin
扬中,yangzhong
宜都,yidou
余姚,yuyao
燕郊,yanjiao
永康,yongkangshi
玉环,yuhuanxian
攸县,youxian
玉田,yutian
永春,yongchun
宜阳,lyyiyang
宜兴,yixing
宜城,xyyicheng
伊川,yichuan
沅江,yyruanjiang
禹城,dzyucheng
阳谷,yangguxian
沂南,yinanxian
沂源,yiyuanxian
郓城,yunchengxian
永兴,yongxingxian
云梦,yunmengxian
余江,yujiangc
郑州,zhengzhou
珠海,zh
中山,zs
镇江,zhenjiang
淄博,zibo
张家口,zhangjiakou
株洲,zhuzhou
漳州,zhangzhou
湛江,zhanjiang
肇庆,zhaoqing
枣庄,zaozhuang
舟山,zhoushan
遵义,zunyi
驻马店,zhumadian
自贡,zigong
资阳,ziyang
周口,zhoukou
章丘,zhangqiu
张家界,zhangjiajie
诸城,zhucheng
庄河,zhuanghe
正定,zhengding
张北,zhangbei
张掖,zhangye
昭通,zhaotong
中卫,weizhong
赵县,zhaoxian
诸暨,zhuji
邹平,zoupingxian
邹城,zouchengshi
涿州,zhuozhoushi
招远,zhaoyuanshi
枣阳,zaoyangshi
遵化市,zunhua
枝江,zhijiang
肇州,zhaozhou
肇东,shzhaodong
张家港,zhangjiagang
资兴,zixing
樟树,zhangshu
漳浦,zhangpu
泽州,zezhouxian
